location_tag,river_level,x,y,distance_pixels
bordeaux,3,7663,2241,1.0
atfalati,5,2087,2225,1.0
modos,3,8615,2227,1.0
omoloon,3,14911,538,1.0
hacaritamas,1,4336,4390,1.0
ipholhhelhlhup,4,5082,6228,1.0
nazimovo,5,11817,1214,1.0
choele_choel,3,4658,7073,1.0
tolna,4,8550,2123,1.0
kucevo,4,8680,2261,1.0
shawinigan,5,4368,2116,1.0
dukhovnitskoye,5,9888,1734,1.0
barayy,4,13753,930,1.0
shungopavi,3,2638,2734,1.4142135623730951
dura,5,11782,3402,1.0
pest,4,8561,2070,1.0
kai_theli_ke_hot_inne,5,2619,1273,1.4142135623730951
tumbalala,4,5901,5320,1.0
nagina,3,11246,3182,1.0
guanambi,4,5724,5545,1.0
guachoyo,5,3535,2947,1.0
changyuan,3,12925,2839,1.0
petrovaradin,5,8611,2229,1.0
hebin,3,12655,2521,1.0
stepanevka,3,9673,2004,1.0
takhir,3,11293,1869,1.0
tohome,3,3710,3030,1.0
staraya_ryazan,3,9519,1604,1.0
calabar,4,8064,4576,1.0
tuktoyukiuq,5,1583,498,1.0
bhagalpur,5,11658,3433,1.0
sandan,5,12516,4117,1.0
scioto,5,3910,2632,1.0
yusva,3,10248,1263,1.0
puan,3,12502,3032,1.0
kal_gatana,4,14692,583,1.0
kangiqsualujjuaq,5,4695,1335,1.0
tapajo,5,5137,4957,1.0
nikahionhwakowa,4,4237,2279,1.0
piacenza,3,8127,2232,1.0
kuturga,5,13479,879,1.0
ponkhockie,3,4330,2411,1.0
huaying,3,12550,3134,1.0
tormosin,3,9650,2031,1.0
mikhalkino,4,15031,478,1.0
freiburg,3,8038,2047,1.0
tatarskaya_tesyu,4,11829,1582,1.0
tortona,3,8094,2238,1.0
offenburg,3,8056,1995,1.0
dongsheng,3,12747,2534,1.0
muang_mang,5,12490,3959,1.0
kuzmovka,3,11853,1045,1.0
berezhnovka,5,9769,1897,1.0
ningbian,3,12763,2553,1.0
pengshui,5,12614,3194,1.0
selo_yartsevo,5,11816,1211,1.0
chana,4,5041,6687,1.0
malye_oserki,3,9464,911,1.0
pereiaslav,5,9138,1933,1.0
morangi,5,11956,3355,1.0
ukek,5,9798,1791,1.0
lumbini,3,11511,3305,1.0
olenegorsk,3,14409,402,1.0
bkwejanong,5,3934,2392,1.0
huitong,5,12698,3327,1.0
nagavskaya,3,9649,2039,1.0
el_burullus,3,9078,3077,1.0
hiw,4,9152,3381,1.0
manfalut,4,9094,3303,1.0
cermik,3,9477,2675,1.0
samsat,3,9445,2706,1.0
mosul,5,9665,2799,1.0
abu_kemal,3,9545,2878,1.0
samawa,3,9747,3076,1.0
basra,4,9850,3101,1.0
numaniyyah,3,9757,3006,1.0
avaes,5,5036,6369,1.0
orotukan,3,14554,1014,1.0
shigatse,5,11737,3199,1.0
yevoyakha,5,11238,768,1.0
ramnagar_bihar,3,11509,3316,1.0
ob,5,10849,643,1.0
kaniv,3,9115,1910,1.0
maanaagi_iixodagish,3,3021,2047,1.0
zharzhan,5,13331,492,1.0
zhijiang,5,12785,3138,1.0
yakovlevskoye_bolshoye,3,9561,1388,1.0
tana,3,9480,2102,1.0
aigun,5,13498,1897,2.0
rovnoye,5,9788,1856,1.0
matoueska,5,4213,2213,1.0
eket,4,8058,4566,1.0
qingjiang,4,12951,3268,1.0
kisatchie,3,3477,3077,1.0
sm_algyax,3,1822,1606,1.0
goalpara,5,11818,3381,1.0
ilovlya,3,9681,1955,1.0
pingchuan,3,12324,3267,1.0
usolye,5,10265,1252,1.4142135623730951
tyokhtyur,4,13579,1074,1.0
carmacks,3,1441,985,1.0
scqescilni,4,2302,2054,1.0
nlaka_pamux,5,2154,1894,1.0
mackinac,4,3837,2141,1.0
thilane_hot_ine,5,2619,1440,1.0
szabolcs,3,8649,2058,1.0
arguvan,3,9437,2638,1.0
guancheng_zhengzhou,3,12869,2867,1.0
daban,4,13126,1179,1.0
zhongmu,3,12887,2865,1.0
chinook,4,2069,2158,1.0
baishan,3,12617,3515,1.0
wanapum,4,2224,2100,1.0
cukataw,4,9987,1539,1.0
changle_fujian,3,13132,3389,1.0
deskenetlata,4,2567,1155,1.0
sviyazhsk,5,9933,1555,1.0
ahsenisiipi,5,3561,2467,1.4142135623730951
doustioni,5,3421,3008,1.0
upper_yukon,4,1332,879,1.0
gitxsanimaax,3,1815,1535,1.0
samastipur,5,11600,3418,1.0
kaipeshimushich,3,4127,1817,1.0
eminabad,3,11062,3014,1.0
sialkot,3,11084,2998,1.0
pindi_bhattian,3,11032,3029,1.0
jammu,3,11097,2982,1.0
kingston,1,7681,1811,0.0
chikowa,4,9153,5710,1.0
baran,3,11250,3244,1.0
oxford,1,7631,1788,1.0
ghazipur,4,11517,3409,1.0
dera_ghazi_khan,4,10913,3111,1.0
korra,3,11360,3380,1.0
chilas,3,11041,2827,1.0
kerma,4,9081,3718,1.0
hezhou_he,5,13084,3051,1.0
dongliu,5,13015,3134,1.0
st_at_imcets,3,2119,1802,1.0
drastar,5,8920,2294,1.0
privas,3,7911,2245,1.0
qingshen,3,12416,3161,1.0
iiq,3,291,1176,1.0
tukulan,4,13748,929,1.0
mongtung,4,12178,3694,1.0
chistamikap,5,4204,1759,1.0
verkh_chebula,3,11631,1554,1.0
luocheng,3,12659,3458,1.0
uzes,3,7900,2288,1.0
kyat_kala,3,10433,2426,1.0
lyon,5,7911,2188,1.4142135623730951
chastye,3,10193,1402,1.0
purnia,5,11665,3420,1.0
khakhaly,4,9710,1482,1.0
kutarka,3,9905,1366,1.0
putyatino,3,9555,1609,1.4142135623730951
kitchissippi,5,4241,2216,1.0
reading,1,7642,1810,1.0
oleshia,5,9170,2133,1.0
cangxi,3,12508,3043,1.0
kolchugino,3,11601,1533,1.0
mocana,4,4282,4235,1.0
kostroma,3,9542,1363,1.0
yichuan,3,12718,2795,1.0
hamburg,3,8142,1668,1.0
koponovo,3,9555,1589,1.0
magyarovar,4,8468,2035,1.0
caroni,5,4822,4388,1.0
kalispel,3,2344,2002,1.0
hezhou,3,12388,2815,1.4142135623730951
xincheng_xincheng,4,12633,3505,1.0
kazhi,5,12298,3190,1.0
geshitsa,5,12330,3102,1.0
kichkas,3,9293,2037,1.0
myedu,4,12059,3550,1.0
kamchatsk,3,15050,1473,1.0
gananoque,4,4247,2262,1.0
bakhtinsky,5,11744,1026,1.0
chudovo,5,9113,1313,1.0
tsa_tinne,5,2156,1479,1.0
piratinin,5,5302,6644,1.0
qashliq,4,10819,1285,1.0
towosaghy,5,3621,2761,1.0
jiyin,3,12940,2831,1.4142135623730951
tetyushi,4,9919,1563,1.0
verkhotomsk,3,11557,1492,1.0
xicheng,3,12658,2992,1.0
beya,5,11856,1657,1.0
jishi,3,12323,2793,1.0
chagu,3,3168,2316,1.0
halchidoma,3,2491,2904,1.0
wied,3,8022,1869,1.0
xicallanco,4,3496,3839,1.0
araska,3,10872,2701,1.0
changan,5,12670,3439,2.0
ferrara,3,8240,2238,1.0
batamay,5,13575,922,1.4142135623730951
pakokku,5,12026,3652,1.0
sandonnino,3,8153,2240,1.4142135623730951
aslan_horod,3,9212,2121,1.0
cheremkhovo,5,12409,1715,1.0
adyumba,5,8130,4893,1.0
yukonda,4,10867,1162,1.0
paranabuku,4,5882,5326,1.0
kangu,3,12444,2775,1.0
novosyolovo,4,11899,1523,1.0
madi_yuanling,3,12741,3227,1.0
amnye_machen,3,12249,2829,1.0
otadaonanis,3,3974,1755,1.0
solothurn,3,8039,2078,2.0
gucheng,3,12771,3020,1.0
ostrovskoye,5,9617,1393,1.0
kaitangata,3,15406,7503,1.0
scheibbs,3,8379,2034,1.0
tomakivka,5,9283,2072,1.0
freistadt,3,8344,2020,1.0
wycombe,1,7658,1802,1.0
mariocai,5,5356,4892,1.0
brass,4,7969,4590,1.0
qichun,5,12936,3144,1.0
yaguari_guazu,5,5041,6651,2.23606797749979
kamyshnoye,3,11019,1540,1.0
glukharinyi,3,14629,809,1.0
tula_ark,3,3415,2831,1.0
mbya,3,5230,6186,1.0
awadh,4,11412,3342,1.0
tehcha,4,13500,1895,1.0
el_bahnasa,4,9106,3211,1.0
el_balyana,4,9128,3348,1.0
urfa,3,9451,2704,1.4142135623730951
malatya,3,9439,2646,1.0
saumur,3,7671,2082,1.0
kahta,3,9465,2683,1.0
anah,3,9594,2890,1.0
kufa,3,9706,3020,1.0
bakusaya,3,9797,3005,1.0
abadan,4,9882,3135,1.0
nasiriyah,3,9751,3078,1.0
manbij,3,9419,2744,1.0
amahami,3,3073,2088,1.0
yunxi,3,12714,2989,1.0
lamas,5,4202,5233,1.0
nasacauso,3,4290,1762,1.0
kamashikamach,3,4189,1821,1.0
kitchawanc,3,4321,2434,1.0
marapa,3,3108,2173,1.0
kashechewan,5,3968,1760,1.0
muichi,4,8916,5166,1.0
ganatchio,5,3917,2409,1.4142135623730951
yguazu,5,5204,6297,1.0
dzogang,3,12125,3164,1.0
connatachequa,3,4182,2531,1.0
aguyaq,5,485,1275,1.4142135623730951
twante,5,12046,3893,1.0
saskatchewan,3,3011,1635,1.0
lamego,5,7314,2487,1.0
humar,3,13419,1717,1.0
fengle,3,12811,3067,1.0
khoai_chau,4,12514,3685,1.0
kheong,3,12292,3209,1.0
ruichang,5,12953,3168,1.0
calli,4,10003,1530,1.0
kwatsaan,3,2469,2954,1.0
syagannaax,3,14228,568,1.0
dinghu,3,12735,2704,1.0
yedey,4,13454,1111,1.0
amalyk,5,12963,1461,1.0
yuanyang,3,12887,2862,1.0
dobrzyn,3,8571,1731,1.0
goupingguan,3,12649,3000,1.0
dechang,3,12335,3302,1.0
mahony,4,1978,806,1.0
mahates,4,4280,4271,1.0
mulhouse,3,8034,2049,1.0
langzhong,5,12518,3063,1.0
tiel,4,7939,1778,1.0
rampart,4,854,741,1.0
huarong,5,12828,3172,1.0
talok,5,12032,3646,1.0
kadyy,5,9657,1396,1.0
archar,4,8729,2314,1.0
sangar,5,13521,910,1.0
khaliajuri,5,11836,3479,1.4142135623730951
simiti,5,4323,4439,1.0
jalandhar,3,11111,3091,1.0
ghotki,4,10851,3263,1.0
kohat,4,10966,2945,1.0
khairpur,3,10995,3169,1.4142135623730951
suket,3,11223,3072,1.0
jijial,3,11019,2848,1.0
firozpur,3,11089,3095,1.0
sehwan,5,10780,3366,1.0
peshawar,5,10952,2913,2.23606797749979
moro_sindh,4,10782,3367,1.0
lalpur,3,10906,2887,1.0
tangir,3,11032,2828,1.0
dongola,4,9075,3766,1.0
sai,4,9097,3655,1.0
cananeia,3,5517,6219,1.0
jiangyin,5,13155,3040,1.0
fanchang,5,13069,3086,1.0
wuwei,5,13075,3080,1.0
yingshang,5,12994,3009,1.0
wujin,5,13144,3038,1.4142135623730951
mindouli,5,8348,5111,1.0
inbatskoye,5,11673,832,1.0
apiaka,4,5037,5394,1.0
surgut,5,11091,1104,1.0
grudziadz,3,8547,1665,1.0
dubovskoye,3,9636,2057,1.0
tanana,4,797,774,1.0
kortuz,4,11835,1568,1.0
kushinagar,3,11507,3312,1.0
astrakhan,5,9877,2154,1.0
takspaslama,4,2219,2189,1.0
uruguay,5,5167,6414,2.0
zhaozhou_jurchen,3,13351,2204,1.0
zhatai,4,13602,1033,1.0
kuruaya,5,5326,4930,1.0
allakaket,4,829,755,1.0
bolotnye,3,11555,1466,1.0
rampa,4,11401,3875,1.0
mamachatpam,5,2258,2156,1.0
konwargaon,5,11996,3317,1.0
bodrog,4,8548,2167,1.0
snt_t_ulix,4,2307,2041,1.0
zainsk,4,10037,1527,1.0
hytop,3,3788,2858,1.0
zheshart,3,9964,1025,1.0
ragnit,3,8703,1560,1.0
tongle,3,12526,3453,1.0
siberia_bor,5,11777,1087,1.0
natchez,5,3523,3084,1.4142135623730951
sailahai,3,12254,2823,1.0
qidong,3,13035,2736,1.0
pozega,1,8480,2225,1.0
markham,3,12198,3157,1.0
sol_velikaya,3,9521,1383,1.0
gaoming,5,12828,3566,1.0
jiajin,4,13596,1965,1.0
hont,3,8547,2053,1.0
tupirama,5,5429,5334,1.0
matootonha,3,3087,2091,1.0
kazachinskoye,4,11936,1368,1.0
village_onega,3,9426,888,1.0
suide,3,12726,2717,1.0
wallowa,3,2367,2180,1.0
zhongxiang,3,12810,3080,1.0
sremska_mitrovica,4,8579,2223,1.0
klutina,3,1111,1086,1.0
swarakxen,3,2317,1913,1.0
dingi,5,8334,5116,1.0
chiang_khan,4,12324,3846,1.0
megion,5,11185,1134,1.0
kowal,3,8572,1734,1.0
nisga_a,5,1831,1599,1.0
simbirsk,4,9912,1593,1.0
rinpung_yarlung,5,11781,3200,1.0
feira,3,7301,2489,1.0
wumeng,4,12390,3302,1.0
tara,3,11063,1418,1.0
tanico,3,3433,2834,1.0
hejin,3,12726,2818,1.0
jiaxing,3,13184,3107,2.0
yuryev_povolzhsk,5,9637,1397,1.0
yanhe,5,12620,3216,1.0
hackensack,3,4324,2492,1.0
olekma,5,13191,1175,1.0
kahayan_hilir,4,12895,5020,1.0
rohrbach,3,8320,2010,1.0
mengla,5,12298,3642,1.0
jizhou,3,12721,2782,1.0
bahraich,5,11392,3289,1.0
anais,4,5679,5697,1.0
itapua,5,5145,6378,1.0
qujiang_guangan,3,12558,3116,1.0
eskalapia,5,3929,2655,1.0
bakhanay,5,13334,703,1.0
velyka_lepetykha,5,9252,2079,4.0
yonghe,3,12719,2755,1.0
calbe,5,8230,1777,1.0
kolosovka,3,11091,1491,1.0
oryahovo,5,8799,2324,1.0
sambhal,3,11252,3241,1.0
wanan,5,12910,3361,1.0
thaton,5,12133,3916,1.0
pandua_adina,3,11686,3425,1.0
wuhe,3,13058,2971,1.0
xilong,3,12481,3452,1.0
chioggia,3,8253,2242,1.0
phon_hong,5,12314,3852,2.0
cherlak,3,11042,1587,1.0
karnak,3,10778,2347,1.0
yaros,3,5073,6711,1.0
shilou,3,12729,2725,1.0
menouf,3,9092,3104,1.0
ashmunayn,4,9093,3274,1.0
esna,4,9181,3401,1.0
el_buwit,4,9096,3301,1.0
north_meetto,4,9478,5459,1.0
suruc,3,9423,2748,1.0
birecik,3,9437,2712,1.0
al_sinn,5,9667,2845,1.0
haditha,3,9616,2899,1.0
hillah,3,9718,3055,1.0
al_tib,3,9819,3020,1.0
suq_al_shuyukh,3,9805,3106,1.0
al_bab,3,9427,2777,1.0
yongchang_yongchang,3,12211,3418,1.0
severin,4,8727,2268,1.0
ban_khon,4,12326,3802,1.0
saint_etienne,3,7906,2210,1.0
opelousa,5,3518,3089,1.0
ulma,5,13581,1780,1.0
tomsk,4,11515,1395,1.0
ningfan,3,12308,3362,1.0
savannakhet,4,12461,3912,1.0
ningxia,3,12541,2635,1.0
taungdwingyi,5,12020,3737,1.0
guanghua,3,12769,3010,1.0
oli_baraza,3,9998,1450,1.0
phsar_dek,5,12488,4265,1.0
cussate,4,3682,2818,1.0
machichi,3,3489,1422,1.0
myede,5,12025,3764,1.0
qishui,5,12927,3132,1.0
bysyttakh,3,13047,946,1.0
nemby,5,5084,6237,1.0
gryfow,3,8350,1683,1.0
yongxing_xingguo,5,12937,3150,1.0
mahmudabad,3,9918,2560,1.0
saharsa,4,11628,3404,1.0
nograd,3,8561,2054,1.0
oromocto,3,4660,2181,1.0
mong_hsat,4,12248,3704,1.0
heyang_xian,3,12716,2842,1.0
pur,5,11250,733,1.0
wolmirstedt,3,8233,1747,1.0
jianli,5,12828,3169,1.0
aowa,5,3259,2376,1.0
becaguimec,3,4608,2134,1.0
danilov,5,9540,1362,1.0
vu_ninh,4,12505,3669,1.0
qihe,3,12997,2771,1.0
rongcheng,4,12754,3539,1.4142135623730951
harburg,3,8149,1677,1.0
laribandar,4,10783,3468,1.0
sonepur_bihar,5,11563,3403,1.0
dipalpur,3,11069,3112,1.0
chitrakuta,4,11385,3422,1.0
kutlehar,3,11167,3074,1.0
baligram,3,11008,2861,1.0
sonda,4,10800,3444,1.0
rahon,3,11167,3082,1.0
multan,3,10937,3154,1.0
lalian,3,11026,3033,1.0
dunga_bunga,3,11009,3158,1.0
berber,4,9220,3803,1.0
karima,4,9147,3801,1.0
anundsjo,3,8485,948,1.0
wuhu,5,13080,3069,1.0
hangzhou,3,13168,3129,1.0
mitchigamea,5,3628,2737,1.0
pingnan,4,12711,3528,1.0
kholongsolokh,4,14683,590,1.0
yanchuan,3,12716,2753,1.0
messoyakha,3,11342,614,1.0
henley,1,7650,1807,0.0
zhebariki_khaya,4,13876,1026,1.4142135623730951
uyapari,5,4861,4369,1.0
parrusit,3,2530,2794,1.0
baodian,3,12263,3466,1.0
wuzhi,3,12847,2862,1.0
metog,5,12035,3187,1.0
niurba,3,13065,939,1.0
anambe,5,5426,4993,1.0
pokrovsk,5,9808,1794,1.0
dartsedo,3,12335,3119,1.0
bolkhuny,5,9793,2038,1.0
balcheta,3,4700,7090,1.0
kamiahpu,3,2388,2202,1.0
khvorostyanka,5,9902,1715,1.0
krasnoyarsk,4,11957,1462,1.0
passo_fundo,5,5290,6371,1.0
xiaodandang,3,12219,3286,1.0
fugu,3,12749,2593,1.0
pantian,3,12994,3512,1.0
nam_thing,4,12185,3540,1.0
gniew,3,8547,1640,1.0
densatil,3,11882,3198,1.0
yangshou,4,12673,3512,1.0
passau,3,8305,2002,1.0
shunde,5,12838,3573,1.0
hpa_an,4,12142,3880,1.0
wengshui,5,12571,3317,3.1622776601683795
mihalt,4,8705,2261,1.0
ruse,4,8878,2310,1.0
beljamen,5,9740,1951,1.0
paranaidji,4,5521,5239,1.4142135623730951
kamen,3,11396,1632,1.0
stswecen_c,3,2116,1750,1.0
viziru,4,8962,2232,1.0
pingyin,3,12995,2779,1.0
tharrawaddy,5,12037,3843,1.0
hajipur,5,11572,3410,1.0
circle,4,1134,747,1.0
madhubani,5,11625,3399,1.0
tuma,3,9564,1565,1.0
bauzi,4,13970,4971,1.0
goleniow,1,8354,1684,1.0
wenxiang,3,12713,2886,1.4142135623730951
yuncheng,3,12959,2811,1.0
nyemo,3,11791,3195,1.0
passavant,5,7665,2084,2.0
shidian,3,12196,3459,1.0
q_espiea,3,2319,1884,1.0
jaintiapur,3,11889,3452,1.0
ibrahimabad,4,11399,3330,1.0
murom,3,9611,1513,1.0
nikolsky,3,9930,1379,1.0
teliagarhi,5,11663,3432,1.0
bo_hai_khau,4,12527,3706,1.0
tuyandina,3,14306,525,1.0
linjin,3,12718,2843,1.0
mingin,4,11985,3565,1.0
osaakiiwaki,5,3937,2362,1.0
azamgarh,4,11484,3372,1.0
gonda,4,11398,3317,1.0
plenita,4,8720,2271,1.0
ried,3,8300,2022,1.0
glaz,3,8493,2231,1.0
mechet,5,9727,1982,1.0
edfu,4,9179,3436,1.0
kharibta,3,9089,3113,1.0
eruh,3,9598,2706,1.0
hit,3,9628,2921,1.0
baqubah,3,9714,2930,1.0
wasit,3,9793,3006,1.0
zuwayr,4,9868,3130,1.4142135623730951
deir_ez_zor,3,9503,2826,1.0
duhok,3,9617,2734,1.0
kaltysyany,5,10651,960,1.0
hongsa,5,12341,3740,1.4142135623730951
bettiah,3,11525,3337,1.0
chishmy,3,10238,1567,1.0
hanyuan,3,12361,3195,1.0
chandrapur,5,11866,3473,1.0
wicontiss,3,4213,2568,1.0
mabila,5,3724,3017,1.0
rowta,5,11898,3357,1.0
sobat,4,9089,4323,1.4142135623730951
lado,4,9119,4489,1.0
taquarucu,5,5316,6052,1.0
kozhevnikovo,3,11517,1469,1.0
kuujjuaq,3,4570,1345,1.0
longquanping,3,12603,3294,1.0
curu_leufvu,3,4772,7142,1.0
nioman,5,13585,1949,1.0
dordrecht,4,7920,1775,1.0
daning,3,12722,2768,1.0
havasubaaja,3,2568,2779,1.0
nooksack,5,2116,1970,3.1622776601683795
muxihe,3,12290,2891,1.0
bula_kongo,5,8328,5129,1.0
pont_audemer,3,7713,1945,1.0
toniato,4,4263,2248,1.0
piachi,3,3745,3018,1.0
chillupar,5,11480,3366,1.0
konski_vody,3,9292,2061,1.0
macoupin,5,3572,2619,2.0
nikolskoye_pontic,5,9800,2056,1.0
washeo,5,3691,1498,1.0
bulun,4,13791,954,1.0
aerzhai,3,12600,2501,1.0
mykytyn_rih,5,9260,2069,1.0
petawawa,3,4130,2157,1.0
kaniatarahontsi,5,4248,2265,1.4142135623730951
manhattan,3,4327,2491,2.0
sawran,3,10764,2332,1.0
kamach,4,4286,4235,1.0
ural_nema,3,9962,1392,1.0
matawin,3,4371,2094,1.0
sarikei,4,12766,4715,1.0
wapsipinicon,5,3576,2447,1.0
obion,5,3629,2766,1.0
dingbian_shunning,3,12256,3460,1.0
kapitukamach,3,4249,1806,1.0
chisasibi,3,4096,1651,1.0
anlong,5,12477,3448,1.4142135623730951
tchakashapug,3,3894,1808,1.0
juancheng,3,12951,2819,1.0
sowunusiske,4,3466,1425,1.0
lutang,3,12437,2736,1.0
boxing,3,13074,2716,1.0
bodaybo,3,12936,1375,1.0
karau,4,12919,4942,1.0
kehu,3,12725,2666,1.0
futi,4,13714,2078,1.0
fanxian,3,12957,2808,1.0
fuzhou_sichuan,5,12582,3163,1.0
chandwar,3,11272,3337,1.0
otakou,3,15403,7459,1.0
muktsar,3,11065,3120,1.0
bhakkar,4,10935,3031,1.0
jalalpur_pirwala,3,10925,3188,1.0
khewra,3,11040,2995,1.0
paat,4,10790,3326,1.0
udamphur,3,11112,2968,1.0
branna,3,8673,725,1.0
wujiang,3,13182,3104,1.0
chongde,3,13181,3117,1.0
xatingnaax,4,14644,628,1.0
kamensk,5,11922,1342,1.0
ski,3,8196,1208,1.0
chamcha,4,12944,1139,1.0
vidin,4,8724,2289,1.0
idrinskoye,4,11850,1613,1.0
nixi,3,12217,3268,1.0
kodak,5,9256,2000,1.0
kengdey,5,13494,265,1.0
goly_karamysh,5,9775,1825,1.0
waskaganish,3,4108,1810,1.0
ragh,3,10884,2687,1.0
taseyevo,4,11934,1346,1.0
nyssa,5,2366,2301,1.0
vukyl,3,10311,869,1.0
abakasnk,3,11852,1642,1.0
keelivtyn,3,15595,785,1.0
dongming,3,12927,2845,1.0
jinkou,5,12887,3138,1.0
preah_ko,5,12508,4060,1.0
sededema,4,14620,663,1.0
shamokin,1,4191,2517,1.0
tappan,3,4319,2465,1.0
abyy,5,14291,552,1.0
debrc,3,8610,2261,1.0
yuannan,3,12749,3225,1.0
sonargaon,5,11826,3513,1.0
kalocsa,4,8555,2133,1.0
lanagashec,5,5032,6345,1.0
utiangue,3,3479,2867,1.0
gutian,3,13088,3365,1.0
belin,3,7672,2262,1.0
soltsy_kirishi,3,9144,1257,1.0
zemukh,3,10777,2362,1.0
mepenes,5,5075,6380,1.0
pali_uttar_pradesh,5,11324,3320,1.0
osinsky,4,12398,1670,1.0
djee,5,13471,1676,3.0
amol_turkmenabad,4,10556,2595,1.0
dingyuan,3,12520,3128,1.0
motygino,5,11968,1343,1.4142135623730951
udamik,5,13823,984,1.0
grayling,4,434,913,1.0
barda,3,9850,2537,1.0
mehsi,3,11547,3364,1.0
baini,3,12598,3301,1.0
caete,1,5966,5369,1.0
sulomay,5,11772,1116,1.0
warsaw,3,8635,1747,1.0
shipai,3,12813,3087,1.0
guanipa,5,4836,4381,1.0
fengcheng_fengcheng,4,12967,3257,1.0
one,4,4280,4296,1.0
parma,3,8157,2239,1.0
shouzhang,3,12968,2805,1.0
wenxian,3,12843,2865,1.0
hequ_wuding,4,12340,3390,1.0
manikpur,3,11380,3387,1.0
stettin,3,8355,1667,1.0
usivka,5,9216,1977,1.0
stata_ketux,5,2240,2037,1.0
zigui,5,12720,3095,1.0
den_terek,3,11902,1801,1.0
korsun,3,9127,1934,1.0
votkings,3,10168,1420,1.0
shichah,3,3112,2270,1.0
stade,3,8138,1669,1.0
shigony,4,9919,1652,1.0
thahnawate,1,4095,2351,1.0
quizquiz,5,3584,2859,1.0
stavropol_na_volge,4,9922,1652,1.0
tancarville,3,7721,1943,1.0
asyut,4,9114,3325,1.0
fuwa,3,9082,3086,1.0
tahna,4,9090,3257,1.0
cizre,3,9593,2698,1.0
kaysun,3,9419,2712,1.0
sivrice,3,9474,2663,1.4142135623730951
keban,3,9456,2626,1.0
ukbara,3,9704,2920,1.0
qadisiyyah,3,9715,3057,1.0
maskanah,3,9422,2790,1.0
jabar,3,9433,2774,1.0
busayrah,3,9501,2813,1.0
balad,3,9640,2761,1.0
wyaconda,5,3526,2529,2.0
bhadohi,4,11420,3424,1.0
yuanqu,3,12782,2853,1.0
gorodets,3,9659,1425,1.0
ust_ishim,5,10932,1372,1.0
changning,3,12805,3361,1.0
qiyang,3,12777,3355,1.0
kwidzyn,3,8551,1656,1.0
reni,4,9000,2220,1.0
bayannur,3,12568,2526,1.0
bor,4,9125,4497,1.0
shambe,4,9093,4452,1.0
kurung_yuryakh,5,14332,501,1.0
hulawen,5,13414,2209,1.4142135623730951
horodyshche,5,9195,1965,1.0
molchanovo,5,11506,1368,1.0
cokuurdaax,3,14407,389,1.0
sebit,3,2496,2788,1.0
pa_lus_sa,3,2329,2129,1.0
shar,5,11411,1897,3.1622776601683795
chuapa,4,8508,5030,1.0
zhalauly,3,11103,1652,1.0
imakia,3,11172,1714,1.0
chiryapchi,4,13613,1011,1.0
xiangning,3,12724,2808,1.0
wayagamac,3,4375,2081,1.0
laibin,4,12672,3514,1.0
yanggu_yanzhou,3,12959,2808,1.0
yelabuga,5,10088,1496,1.0
kystatyam,5,13313,655,1.0
kolpashevo,5,11454,1327,1.0
tsiripa,5,5179,6346,1.0
vezhakary,5,10662,970,1.0
wangmu,5,12523,3449,1.0
cheboksary,4,9826,1482,1.0
jembayan,4,13017,4877,1.0
kuttawa,4,3688,2691,1.0
rajmahal,5,11694,3452,1.0
corpen_aike,3,4552,7767,1.0
escatawppa,5,3684,3088,2.0
thawe,3,11527,3343,1.0
osijek,3,8532,2195,1.0
acanti,4,4186,4395,1.0
yingli,3,12492,2708,1.0
melnikovo,5,11533,1434,2.0
pampahuaylla,4,4321,5522,1.0
khachimcher,3,14310,518,1.0
nyonoksa,3,9420,885,1.0
kuujjuarapik,3,4154,1545,1.0
chyorny_yar,5,9746,2013,1.0
waahukaahaanu,5,2955,2047,1.0
wihlink,3,4009,2578,1.0
kaya_paha,3,3163,2301,1.0
silkari,3,13193,1670,1.0
adixoodagoorahareesh,3,2995,2035,1.0
ahkwesasne_ny,5,4295,2236,1.0
tunica,5,3542,2986,1.0
etiwan,3,4045,2951,1.0
hoveyzeh,5,9853,3100,2.0
kizel,3,10273,1244,1.0
tayxlama,5,2198,2194,1.0
umatilla,4,2275,2173,1.0
shuryshkar,5,10687,699,1.0
dasu,3,11027,2830,1.0
kasur,3,11087,3094,1.0
rajamahendry,4,11407,3895,1.0
raikot,3,11160,3099,1.0
harrow,1,7676,1812,0.0
london,1,7686,1810,0.0
dina,3,11042,2971,1.0
neva,4,9071,1200,1.0
koknese,5,8863,1449,1.0
turukhansk,5,11693,716,1.0
kalabsha,4,9187,3519,1.0
haiyan,2,13191,3122,1.0
quigate,5,3531,2876,1.0
lalek_cotaa,5,4923,6688,1.0
xoko,4,5966,5372,1.0
mardankuyik,3,10797,2380,1.0
cherven,5,8859,2323,1.4142135623730951
jinshajiang,3,12294,3369,1.0
kazari,3,9499,1586,1.0
shushenskoye,3,11877,1677,1.0
ilok,4,8559,2218,1.0
dejiang,3,12619,3255,1.0
unnao,3,11350,3361,1.0
heqing,3,12262,3367,1.0
tongan_lijiang,3,12257,3295,1.0
chestowee,3,3833,2814,1.0
artyk_ata,3,10761,2331,1.0
tuzdysor,3,11179,1730,1.0
rouyuan,3,12194,3462,1.0
argaxtaax,4,14707,577,1.0
awka_etiti,4,8050,4524,1.0
fisque_menuco,3,4595,7066,1.0
pilda,5,14070,1776,1.0
szolnok,3,8617,2095,1.0
guana,4,5052,6036,1.0
