location_tag,raw_material
danyang_korea,beeswax
ouargla,dyes
kamo_izu,beeswax
nusaybin,beeswax
karaga,ivory
nekloch,livestock
peekin,goods_gold
jadu,millet
mandurah,millet
cherohenaka_nc,tobacco
daasanach,clay
hawaastatkiicu,wild_game
wathaurong,fruit
yanbu,saffron
xanthia,cotton
zhenyuan,horses
matimba,iron
silbojock,lumber
nuba_sud,fiber_crops
kineepikwameekwa,fur
el_agheila,millet
kruje,livestock
shethanei,fur
grenland,lumber
bazman,medicaments
ciudad_rodrigo,wheat
furubetsu,fish
burunge,livestock
mootka,fish
kubu_rokan,fish
cosamaloapan,fruit
sico,salt
kaitotikwia,wild_game
monahassanugh,wild_game
bungku,iron
yanshi,beeswax
uruppu,fish
tsalenjikha,fruit
manistique,lumber
yaino,maize
angualasto,goods_gold
katyn,legumes
targoviste,fruit
pitsunda,livestock
xichuan_xizhou,livestock
kwaaru,wild_game
skande,livestock
nilka,stone
sentachan,gems
ibi,tin
seongwi,fish
steinburg,legumes
lippstadt,legumes
kozelets,clay
shahr_sabz,wool
tunliu,pepper
aso,legumes
rome,wheat
tacariju,lumber
ararayu_aba,fish
krasny_kut_pontic,horses
shangzhou,tin
hammamet,fish
liaoyang,legumes
xiapi,rice
coimbatore,iron
ngouma,livestock
sanikiluaq,fish
skinskatteberg,iron
multan,alum
metapan,maize
skye,fish
chinon,silk
salavata,sand
tumkur,clay
kebergene,fur
elton,horses
mazdaran,copper
datta,fish
kyundyade,fur
spasskoye,fiber_crops
sarreguemines,fiber_crops
jataizinho,wild_game
vasknarva,millet
johor_lama,fish
moura,olives
gilgel_beles,wool
koktuma,fish
janakpur_nepal,lumber
myedu,fiber_crops
buale,cotton
pakrac,fruit
nicabau,wild_game
iki_iki,saltpeter
tachi,wild_game
gunindiri,wild_game
kioko,livestock
hemtine,medicaments
patapsco,fiber_crops
murt,fruit
aluri,wild_game
nari_nari,wild_game
penza,wool
jieyang,lumber
sri_thep,lumber
misha_shipu,fur
seneca,lumber
montefeltro,wool
kuddan,wild_game
cuauhteopan,goods_gold
balotipone,wild_game
hienatiemi,lumber
bisotun,wool
cefalu,lumber
ziryanka,fur
santeh,wool
thun,millet
chioata,lumber
sambhar,salt
bugur,wheat
bodou_sailay,livestock
malal_hue,salt
wenquan,livestock
sakawyiniw,fur
yaransk,lumber
saint_mihiel,clay
bengoala,stone
manicouagan,lumber
merano,livestock
anhialo,salt
marrakesh,wine
dera_bugti,wild_game
meiganga,wild_game
menesetung,fish
kisomba,lumber
soonpur,livestock
chitkan,fur
dhubri,elephants
ikosi,salt
juye,cotton
sibak,wheat
tata,livestock
koro,fiber_crops
suamox,potato
obishikokaang,fur
gavrilovskoye,wild_game
dupnitsa,lumber
raipur,cotton
mancha_khiri,legumes
carei,livestock
khosheutovo,wool
usangi,gems
bergama,salt
sharka,livestock
chomuruvuti,goods_gold
diakhao,millet
wachilmezi,fish
punxsutawney,wild_game
mameiwasipi,wild_game
titimani,sand
kakaling,fiber_crops
pingyuan_mei,fur
llica,salt
zubova_polyana,livestock
peewareewa,legumes
beloretsk,lumber
akimiski,fish
koki,livestock
kaa,livestock
pokshenga,lumber
hulu_baram,lumber
yanbu_an_nakhil,fruit
ketmen_tobe,wool
torres_novas,lumber
mirat,cotton
harcourt,sand
yingshui,wheat
fenyi,legumes
trenquelauquen,legumes
vitry_aux_loges,millet
axochiapan,incense
longzhou_longzhou,tea
castelsardo,fish
prathai_saman,lumber
betanzos,lumber
ardtornish,salt
vartashen,livestock
mirecourt,livestock
leon,wheat
gubio,rice
sheshatshiu,fur
nowogard,legumes
al_qaiyah,fruit
molomo,wild_game
gabra,livestock
daklha_gampo,livestock
nichicun,wild_game
castelo_branco,olives
talimeco,clay
guiigu_yudxi,beeswax
laghouat,horses
tse_bitai,wild_game
mawlamyine,fruit
shidian,stone
huxian,medicaments
dabuchyn,clay
bazarny_syzgan,wheat
pimuu_nga,fish
wardandi,fish
prostejov,lumber
yongfu,medicaments
yindjibarndi,goods_gold
konbudj,millet
guwandhaang,copper
kaleap,millet
ucluelet,fiber_crops
pitkachi,legumes
orlovka,wild_game
wapisiw_sipihk,fur
sringeri,silk
khaugoan,stone
hulan,wheat
mallee,beeswax
daha,stone
raxalaa,livestock
malham,fruit
rovnoye,livestock
chaoxian,stone
ras_hafun,saffron
skootamatta,lumber
villandro,stone
liling,rice
bai,millet
yaharo,fish
motul,salt
hall,salt
muang_khuan_kra_buri,lumber
thang_long,rice
neustadt,legumes
lahasusu,wheat
jaguarari,wild_game
lipnic,wool
kure_i_mamure,copper
chicamacomico,lumber
morangi,elephants
udamik,wild_game
lubalo,gems
argi,wild_game
ostrzeszow,wool
incawasi,alum
taung,gems
badulla,medicaments
veisiejai,legumes
sakya,wheat
takana,chili
monzon_campos,wool
xining,beeswax
chittoor,incense
avga,livestock
kailali,lumber
shayang,fish
bishan,rice
kuamut,lumber
asadabad,livestock
futi,wheat
kusu,legumes
sibolga,fish
kracheh,rice
kavaratti_atoll,fish
ambatondrazaka,rice
kasakaupuyau,wild_game
penaca,clay
poshekhonye,lumber
st_gerand,silver
kishtwar,livestock
sidi_bennour,olives
mah_hom,wild_game
valdres,lumber
wak_kabnal,lumber
liubar,wild_game
raphoe,livestock
ermioni,livestock
kidderminster,lumber
foping,lumber
almora,wild_game
baidoa,livestock
ares_del_maestre,olives
tochpan,livestock
muconda,lumber
grosseto,wheat
brzeg,fruit
ynakhsyt,lumber
jhansi,cotton
toshima_kanto,rice
rong_damrel,fiber_crops
qatya,horses
jiachuan,wild_game
tabelbala,fruit
choconta,copper
willcahuain,cotton
bolodek,wild_game
amstetten,fruit
sao_sebastiao_paraiso,lumber
irarutu,livestock
akan_loc,livestock
antabamba,lead
ulibahali,iron
huete,wild_game
trujillo,horses
mlada_boleslav,wool
non,legumes
gaoui,clay
yurginskoye,lumber
welzheim,sand
chequamegon,wild_game
mongmit,gems
zhebariki_khaya,lumber
assapasca,wild_game
gostynin,clay
sonepur_bihar,legumes
cockermouth,lead
tagatay,livestock
bellac,wool
zhabny,lumber
situo,tin
verkola,lumber
myndagai,wild_game
cuicatlan,lumber
dhafar,wool
uchee,legumes
yuyang,wheat
chatot,cotton
goulfey,rice
atikwa,fur
oldenburg,wool
north_hia_ced_oodham,salt
ilalumaala,fish
thandwe,lumber
aoe,livestock
paposo,livestock
undurkhaan,tin
kopys,fish
youxi,lumber
bartin,fish
bagdarin,fur
cheboksary,lumber
harlingen,fish
sebakwe,millet
boa_vista,salt
lafur,lumber
milas,olives
beisheng,copper
pritzwalk,legumes
kharak,wild_game
talikota,horses
katibas,medicaments
renk,beeswax
kobra,lumber
lawksawk,lumber
enisala,fiber_crops
nianbo,millet
osinsky,fur
middelburg,salt
njambi,legumes
tiznit,fruit
wasserburg,livestock
chatyun,stone
tuam,clay
jiangning,stone
tonle_kong,lumber
borobudur,lumber
ondaonnentakwi,fish
valjevo,medicaments
otennienontant,maize
huoshan,horses
kaba,rice
tonnerre,beeswax
hewanorra,cotton
waestbo,lumber
el_buur,stone
aahkawiraahkata,wild_game
quetzalla,maize
mglin,wheat
gegen,lumber
lodi,wheat
neihuang,fruit
ot_kyuyel,fish
soderala,wild_game
soba,stone
nduga,lumber
zombodze,goods_gold
boya,amber
sinawin,sand
fremont,medicaments
heide,fish
targim,clay
dolchinyo,fur
slavkovitchi,lumber
gichthanne,maize
dzil_taadn,lumber
qelelevu_atoll,fish
mamusi,lumber
skaun,wild_game
karsun,wheat
novosil,wool
yitha_yitha,fiber_crops
giiwas,lumber
cuareim,fruit
maiwa_papua,livestock
melnytsya,millet
kinerma,fish
linying,livestock
huehuetan,salt
awrtable,livestock
elkhorn,lumber
tapaje,goods_gold
tavrenga,lumber
clackmannan,livestock
quanasee,fiber_crops
mazyr,wool
jinta,livestock
wassu,stone
paspebiac,lumber
guanare,chili
riantana,legumes
mainz,wine
wangdue,stone
moshi,wild_game
pagai,fish
parkal,livestock
pocatalico,coal
tabaga,lumber
udabhanda,livestock
caopacho,wild_game
zossen,fur
waupecan,fur
murri,fish
vopnafjordur,fish
galisteo,livestock
araritaguaba,lumber
abihka,medicaments
gerze_tibet,livestock
andong_huaian,wheat
nikolo_dor,fiber_crops
djedaa,livestock
kamyshlov,lumber
totokwan,wild_game
fancheng,rice
accra,fish
jita,fish
zakynthos,fish
nanzatico,legumes
hangu_romania,fiber_crops
sardarshahar,wool
ergani,iron
mineami,fruit
mahakam,lumber
raucha,wild_game
brodnica,livestock
captina,coal
tza_wan_pupako,legumes
sastamala,millet
mezhutka,fiber_crops
tongdao_rongzhou,lumber
makaka,lumber
rimouski,lumber
kuukuyani,millet
saudakent,wild_game
xinyi_gaozhou,gems
lifau,fish
upar,chili
taznakht,livestock
kalmyk,livestock
voznesenskoye,fur
ar_rayyan,wool
sai,sand
alazapa,wild_game
thatta,rice
tahamies,marble
konkow,wild_game
sillanwali,wheat
laguardia,wine
chichaoua,cotton
nizhny_lomov,wheat
tulle,sand
rochlitz,stone
opava,lumber
gwaay_haanas,fish
cahama,livestock
lobuya,fur
angamacutiro,lumber
humenne,fur
huafeng,lumber
kargapolye,wild_game
ruga,wild_game
dekemhare,livestock
harahey,lumber
babahuyu,beeswax
turki,livestock
iskanwaya,livestock
mitilene,dyes
suordakh,wild_game
tank,wool
kedar,tin
kolomna,wool
autun,livestock
fenghua,fish
danubyu,rice
sonthofen,lumber
lolo,lumber
alapaha,maize
lezhi,livestock
kanpeska,legumes
landeck,beeswax
terekti,clay
hiyama_hokkaido,wild_game
yingisar,fiber_crops
yola,legumes
doubare,legumes
heshui,livestock
kuyu_shazhou,millet
meductic,medicaments
erongaricuaro,lumber
tlalpan,beeswax
maravatio,lumber
jomda,copper
sudislavl,wild_game
leel_watr_ool,fur
sumuri,fish
ghormach,wheat
durjaya,elephants
lukassi,lumber
olo,fish
shuruk,livestock
bomdila,lumber
etzikom,wild_game
tengiz,clay
zalamea,beeswax
aylesbury,wool
temnikov,beeswax
uberlingen,fish
ulegir,wild_game
ranchi,iron
roh,lumber
ziqwala,stone
bengalon,fish
miketo,wild_game
kartaly,livestock
araya,chili
huarong,fiber_crops
hatun_killaka,potato
asila_arabia,livestock
ningyuan_jinzhou,fish
al_quwayrah,wool
shunde,silk
tierp,fish
besteiros,lumber
sochaczew,livestock
hanagal,fruit
fadisheh,wheat
matala,lumber
mora_eth,fruit
catios,silver
winsen,legumes
shuya_karelia,fur
elvas,wheat
kuyanlik,livestock
rahsaan_khad,coal
guantanamo,copper
buriari,salt
tomata,iron
shiwa,goods_gold
tecamachalco,copper
soldaia,fish
tsukama,legumes
vichuga,livestock
kalanaur,rice
vicenza,wheat
wambu,beeswax
kipahigan,medicaments
balyktyg,fur
essequibo,fish
yalve_sanga,lumber
chupilta,salt
el_burullus,fish
fuqiang,pepper
jonang,livestock
dabiq,cotton
mikulino,livestock
suwa,silk
guire,livestock
qiongshan,rice
tsipanda,fur
nokoni,maize
itabaiana,wild_game
watungasta,wild_game
luoshan_qujing,legumes
shabalula,wool
badami,pepper
dubna,fiber_crops
miyakojima,rice
solovetsky,salt
kyubyainde,wild_game
akre,fruit
hardoi,sugar
koksala,livestock
bumi_ayu,millet
umbu,wild_game
zhouzhi,silk
umluj,fish
kondurcha,livestock
tosa,rice
bole,medicaments
nyuksenitsa,lumber
sangha,lumber
ruian,livestock
chymnaii,wild_game
hexham,coal
arerius,wild_game
kineo,wild_game
voskresenskoye,wild_game
obyachevo,lumber
camel_duahi,wild_game
moskona,fruit
weissenburg,livestock
sart,millet
dien_ban,pepper
treviso,wheat
awaran,silk
koushi,wheat
geziyandun,sand
joal,fish
bouna,goods_gold
dien_chau,lumber
tremembe,fish
villafranca_bierzo,silver
kenamu,lumber
berezhnyany,livestock
birkala,wild_game
guwan,pepper
mistahi,wild_game
makurawe,lumber
deh_kord,fiber_crops
singa,livestock
binayakpur,cotton
nindi,lumber
uza,goods_gold
cocoyome,iron
atibaia,lumber
zaoqiang,fur
belley,livestock
ujan,copper
zhongdu,millet
strumica,millet
ramesvaram,fish
tamworth,livestock
mallig,rice
imangaq,fish
tunupegosode,fruit
odoli,legumes
arapuey,stone
dikwa,rice
mariua,lumber
pemba,rice
lyubim,fur
klahoose,fish
nachod,medicaments
neath,stone
auxonne,legumes
longueville,wheat
irek,legumes
pingji,fruit
ulenkhe,fish
qus,wheat
xinxing_annan,lumber
pokhran,wild_game
krasny_bor,wild_game
kharibta,fruit
bajo_flores,copper
kamilaroi,fiber_crops
tuzdysor,horses
nangchen,salt
domboshaba,millet
selfoss,horses
kiowa,wild_game
puyallup,fish
jacarei,lumber
opatow,copper
tsora,wild_game
bangalore,sugar
koskoak,fur
mingsha,millet
vuriloche,clay
htamanthi,lumber
speyer,wine
rim,iron
rawa_papua,fruit
tilala,cotton
motu_maha,fish
harad_asir,wheat
el_buwit,sugar
enez,salt
maguana,beeswax
fabriano,fiber_crops
gwalior,iron
alexeyevka,wheat
safkul,lumber
upper_ob,fish
dongondoutchi,livestock
ata_mindanao,stone
tieling,silver
dubbi,wheat
matmata,millet
tame,chili
sailahai,livestock
narrandera,fruit
basavapattana,livestock
yongping_yongchang,fur
uschu,lumber
ahkwesasne_ny,maize
qirq_yer,wool
yasuj,wild_game
konjic,fruit
malong,millet
misask,wild_game
piipaash,maize
vasvar,iron
chak,copper
hongcheon,livestock
hamaroy,fish
jiparana,legumes
humadea,clay
plock,millet
khatun,stone
krui,fish
wasatch,wild_game
cloppenburg,livestock
staraya_russa,salt
pesaro,wheat
amkoe,salt
oudenaarde,stone
freistadt,horses
ko_kwel,lumber
gradiski_brod,lumber
mano_iyo_he,wild_game
pola,wine
feldbach,wheat
madi_madi,millet
setif,copper
savoonga,fish
ncando,lumber
daniski,millet
pur,fish
yancheng_kaifeng,clay
shiqian,fish
noyuo,fur
nukamkiajijk,fish
waldsee,millet
alagadyan,wild_game
yacegua,fiber_crops
paanajarvi,lumber
karytaina,saltpeter
tokichan,wild_game
caniche,cotton
vetlanda,beeswax
al_ayn_khaybar,livestock
zhenping,livestock
wertingen,wool
beohari,elephants
borisogleb,fiber_crops
nheteroia,fish
dingyuan_lingzhou,millet
chigoubiche,wild_game
samangan,wheat
sokota,clay
ambam,wild_game
kupadokado,wild_game
gongcheng,fur
prinzus,beeswax
acham,wild_game
qom_caia,fruit
butaritari_atoll,fish
usu_xinjiang,wool
belgaum,pepper
ouiatchouaniche,wild_game
bengkalis,fruit
treviglio,livestock
swellendam,livestock
ipueira,wild_game
gilan_gharb,wild_game
mimizan,salt
hamrange,fish
deori,fiber_crops
longchuan_xunzhou,rice
jagodina,fruit
kura,wild_game
dan_sai,lumber
milange,lumber
tunkuo,copper
orotuk,lumber
atiya,rice
khormoj,fish
st_ambroix,millet
zhonglu,wild_game
latu,millet
sahagun,wheat
hadiya,wheat
tortuga,fish
chastoozerye,fur
walpi,wild_game
darende,fruit
balakovo,horses
onnyos,fur
benghazi,olives
nac_nanuk,fish
ningjin,cotton
sharu,wild_game
kwaskwuti,wild_game
orosu,fish
kantalahti,pearls
kanthi,livestock
baleh,mercury
jujuy,dyes
nishimorokata,rice
tocantis,fiber_crops
modica,silk
provins,wheat
ngargad,millet
al_khadra_ALG,olives
peja,fruit
dingnan,lumber
sar_mashhad,wheat
chiang_khong,dyes
al_hegrieah,wheat
xie,legumes
hunedoara,iron
washakie,wild_game
osnavieh,livestock
lamanai,wild_game
cremona,wheat
krnov,goods_gold
nima,silver
ogomoor,livestock
ras_gharib,copper
cacaxtles,cotton
colha,cotton
takai,silk
dyrashnichikha,fur
linguere,horses
dala,fish
uele_ca,wild_game
chisinau,stone
chuwalee,stone
wekwee_ti,wild_game
tk_emlups,lumber
nyamal,wild_game
bledsoe,wild_game
kandysu,fish
busayrah,legumes
okladnikova_sloboda,fish
jubara,livestock
kinistino,lumber
teypana,cotton
moron,cotton
kafartab,legumes
abyy,fur
jayankondam,amber
karia,fruit
utondwe,rice
betroka,lumber
sohrfiruzan,cotton
hengyang,tin
aurland,millet
paro,lumber
ardakan,fruit
cataguas,lumber
guaxaban,silver
stata_ketux,wild_game
kyaukme,lumber
bandhugara,elephants
hulu_paser,lumber
guzelhisar,wheat
maqtewey,lumber
gresi,wild_game
hellin,olives
andechs,millet
jazan,pearls
dancheng,livestock
pontianak,sugar
ulma,lumber
osnabruck,coal
schesslitz,fruit
caxitlan,chili
muromtsevo,fur
kholm,wild_game
nounkonkan,goods_gold
pende,wild_game
baodian,lumber
yateras,fiber_crops
utlandet,fish
luzhou,wine
zhilinda,wild_game
juni_aiken,wool
abashiri,millet
shichah,fiber_crops
muyu,livestock
millinocket,lumber
neluki,wild_game
fuzhou_songpan,stone
carlisle,clay
corte,wool
itzcalpan,cocoa
esna,sugar
khuai,beeswax
promsa,wheat
chuhuiv,millet
nyikina,fiber_crops
velyka_oleksandrivka,clay
pangguyangan,fish
llanes,fish
sarsuti,wool
jawand,wool
bosobolo,lumber
qahqaheh,fiber_crops
nakhal,fruit
hammerfest,fish
tafresh,livestock
eyvanekey,rice
asmat,livestock
ratne,horses
linwu,tea
karma_densa,wool
uguumur,horses
heping,wild_game
pelly_faro,fur
staropolye,wild_game
cixi,clay
atash,maize
ait_daoud,olives
artyk_ata,livestock
noto,olives
nendo,lumber
ytykyra,wild_game
soderbarke,lumber
khikhani,iron
kombomba,lumber
lowqah,sand
tamna,horses
kurmysh,stone
wamesa,beeswax
chongren,livestock
salm,sand
konevets,medicaments
angkor_borei,fruit
chochama,lumber
po,wheat
sabanozu,horses
puertollano,stone
agadem,alum
yiman_australia,legumes
dufanat,beeswax
bela,wheat
yandao,tea
rawa,wool
dazhasi,stone
pyzdry,wool
mile,rice
nozza,iron
beaupreau,fruit
buha,wild_game
ogeechee,maize
aha_macav,wild_game
huupalikooche,wild_game
hepa,wild_game
xiangyang,fish
mityakinskaya,livestock
boumalne_dades,stone
khiva,legumes
tansyk,medicaments
uyandina_trail,wild_game
rudnik,silver
piaui,wild_game
tarbeevka,livestock
zempoala,beeswax
gambaga,wool
arkaba_tura,sand
khalifatabad,ivory
hallein,salt
aqda,wild_game
santo_antonio_monte,wild_game
acerenza,beeswax
lamatama,lumber
pszczyna,coal
vorkuta,wild_game
goito,livestock
yoro,beeswax
umncumuba,wild_game
kuungkari,stone
pusilha,fish
qardam,livestock
terranovasic,cotton
tijuco,gems
shizhu,lead
huescar,wool
weda,livestock
kharooan,wild_game
vukovar,fur
kukuro_kalapalo,legumes
mayumba,sand
pikillaqta,gems
fengcheng,lumber
mulunda,millet
maintirano,livestock
luchuan_rongzhou,livestock
shaazan_khot,livestock
gurun,lumber
orsa,wild_game
ronneby,wheat
skofja_loka,millet
constantina,silver
yazoo,lumber
uracu,stone
gottingen,fiber_crops
viransehir,cotton
kerouane,livestock
assinie,pearls
panenetah,maize
kaniksu,lumber
zhenyang,livestock
zunhua,iron
halle_an_der_saale,salt
hohenberg,stone
khamkeut,lumber
stensele,lumber
braganca,livestock
ar_rass,livestock
reni,horses
badrinath,wool
maia_papua,lumber
longmen_chicheng,livestock
piotrkow_trybunalski,beeswax
yanchang,fish
kapuskasing,wild_game
monastyrshchina,beeswax
barmaur,livestock
laling,livestock
kheis,wild_game
suiyang_guide,wheat
sukju,coal
tsetserleg,livestock
tepotahal,fish
yaur,sand
yixian,tea
nadushan,legumes
tconsiep,saltpeter
toa,cotton
tegninateo,stone
trusan,livestock
chipion,salt
pikwitonei,fur
liban,livestock
horki,lumber
kichwa,lumber
slana,fur
pucheng,wool
charyn,beeswax
veles,fiber_crops
nongatl,lumber
tirschenreuth,fish
oboyan,wheat
nander,cotton
rabkob,elephants
angul,rice
takhir,livestock
mbanza_kongo,copper
mahur,lumber
al_anbar,wheat
kaicheng,cotton
ormenio,wine
fufeng,wheat
jeldesa,stone
rekinniki,wild_game
gurgaon,horses
dillenburg,wool
retford,wool
murcia,silk
ayo,livestock
tekabket,fur
hahatououadeba,fur
itapemirim,fish
tacshic,lumber
khanda,fur
keweenaw,copper
tirkong,legumes
uur,fur
taungataki_atoll,salt
hauraki,stone
tharrawaddy,incense
outapimiskou,wild_game
nunura,salt
kaimbe,wild_game
ohrdruf,fur
treguier,horses
pokhara,wool
tamba,livestock
mtetengwe,millet
rangkawe,fish
karkuj,fiber_crops
mistutikumak,lumber
arque,tin
banjabi,fruit
qumarleb,wild_game
montgomery,wool
ripoll,iron
amaravati,lumber
taksimo,wild_game
cayuvava,lumber
al_shuqayq,sugar
barpeta,livestock
verona,wine
lumbala_nguimbo,wild_game
luoyang,wheat
balasore,iron
rongmei_naga,wild_game
yada,wild_game
kotonkoro,livestock
coblenz,lumber
kafaila,medicaments
pulzhai,clay
ribe,fish
haihaer,livestock
vivero,iron
djemah,lumber
otjozondjii,fish
troitsko_pechorsk,lumber
karkevand,cotton
lalsk,lumber
longde,livestock
armavir,livestock
veurne,horses
leiningen,wool
loropeni,livestock
ardestan,fruit
kinuhsisuht,wild_game
xiaoxian,fish
waqrapukara,maize
tatau,fish
mastakh,fish
shimokita,fish
heris,wool
gaza,fish
dumba_katola,wild_game
cantwell,wild_game
niushan,livestock
tonguo,lumber
chiriqui,lumber
ovruch,wool
mano,rice
guarda,wool
shineha,fish
feldkirch,lumber
aqca,cotton
carinena,wine
kamoro,fruit
gaoyuan_jinan,wheat
grand_lahou,saffron
monselice,livestock
kuria,cotton
wang_pho,stone
tharawal,copper
macoupin,maize
tarusa,wild_game
lingshanwei,wheat
qinshui,livestock
pigou,lumber
duns,wool
rozhdestveno,beeswax
kon_tum,lumber
silou,lumber
wari_willka,potato
changle_fujian,fish
chennur,beeswax
aarau,legumes
achacachi,potato
shunyi,wheat
dungarvan,wool
ghorveh,wheat
dunbar,millet
zhangpu,cotton
isfahan,silk
alba_de_aliste,beeswax
oli_baraza,wild_game
kirina,rice
kuzucan,stone
dungu,fruit
upper_gazimur,lumber
chelmsford,wheat
wasetihoge,wild_game
patti,wine
chirki,fur
yavoriv,fiber_crops
al_amwah,wheat
burrishoole,salt
kurri_kurri,fish
yahandeka,maize
adrada,beeswax
karroun,iron
changchun,legumes
dungkar_amdo,horses
sutuko,medicaments
mukariva,cotton
konchalyt,coal
tome,rice
kuvshinovo,horses
al_kamil_wal_wafi,fruit
tepeyahualco,beeswax
plenita,cotton
itatsky,lumber
siikalatva,fur
okhona,lumber
enggano,fish
tepecan,lumber
takashima,rice
jhenaidah,pepper
savran,millet
kenmure,wool
tegal,rice
canasoga,iron
chania,wine
jabiyan,legumes
zhalauly,salt
heishui,livestock
konwargaon,elephants
dobryanka,wild_game
lishui_yingtian,rice
suncheon,rice
roi_et,lumber
wakusimi,lumber
iriirakiicuhat,legumes
irawo,livestock
larba,fur
estatoe,stone
vitre,fiber_crops
simiti,lumber
byerazino,wool
yanci,cotton
bam,fruit
telavi,wine
baiting,sand
bogra,cotton
mistecapiu,lumber
south_hia_ced_oodham,fish
vekshenga,clay
makigotekw,legumes
pamiers,wool
gomu,fish
ouezzane,livestock
uzes,copper
grigoropolisskaya,livestock
koshoy_korgon,mercury
pirloganda,iron
debila,clay
yohualtepec,tobacco
farim_iran,stone
guiyang_hengyang,rice
gane,lumber
ikalis,lumber
urad,wool
karasahr,wheat
parma,livestock
paungde,rice
helsingborg,wheat
kourouninkoto,cotton
niantjila,rice
kamsack,maize
ankara,wool
japallan,maize
hymahi,wild_game
alaiye,marble
kohatk,wild_game
alaverdi,wool
manyikeni,millet
pamplona,livestock
dasu,wool
xinning_wugang,fur
olentangy,fur
funing,wheat
djelfa,alum
iwo,livestock
ballymore,livestock
havasu,wild_game
tetzcoco,legumes
veckelax,millet
male_atoll,lumber
queshan,medicaments
cudalbi,livestock
huanggang,wheat
solok,goods_gold
zalaegerszeg,fruit
tadla,livestock
martu,iron
sbikha,fruit
baghlan,wool
kogluktok,wild_game
apolda,legumes
kyusyur,fish
kovernino,fur
chistamikap,wild_game
cess,fish
gimbi,millet
winneway,fur
nangana,ivory
pontevedra,salt
srinagar,pepper
tehuantepec,chili
coutins,fish
kongsvinger,legumes
babana,livestock
menehould,stone
lualaba,wild_game
ishanapura,fruit
huista,beeswax
mesocco,fur
monecato,wild_game
chatata,wild_game
deloraine,gems
lukchun,saltpeter
zhongxiang,rice
shexian_cizhou,wild_game
granadilla,stone
ayay,fish
jarrakan,wild_game
towing,millet
mbanza_mpemba,lumber
pochep,legumes
soltsy_kirishi,wild_game
laoting,fruit
isenga,wild_game
gangulu,fiber_crops
jurong,wheat
nasu,rice
lotsane,stone
brotas,lumber
lazkiye,wheat
maheshwar,millet
mani,lumber
falam,beeswax
huilai,rice
killelu,sand
jose_calcado,beeswax
villadiego,livestock
shana,fish
segbana,cotton
st_veit,stone
uspenskoye,livestock
alula,incense
musuo,wild_game
witagron,beeswax
krasnoyarsk,iron
maan,livestock
tupirama,wild_game
nawakot,sand
xiuyan,gems
uvinza,salt
kamitsuma,goods_gold
sangamesvara,rice
shuangliu,tea
jinzhuping,livestock
ust_kulom,fur
shixing,rice
irbid,olives
zary,iron
kamchatsk,ivory
chunar,stone
haizhou_liaoyang,wheat
malemba,fish
carmacks,fur
waradika,lumber
yukhnov,millet
muang_kham,lead
mandiyu,fiber_crops
shangshui,livestock
ban_luang_cheng,legumes
linyou,livestock
ilic,sand
beregovo,wheat
bandar_e_jask,sugar
amoyescheck,lumber
siyene,wild_game
kedang_pahu,fiber_crops
kobda,wool
naraha,rice
liinabaha,lumber
buotama,fish
yuin,wild_game
hedingham,wool
khabar,wool
anchun,wheat
vizhas,fur
gerede,iron
polevskoy,copper
tatinnai,lumber
altyntobe,wheat
purnia,rice
olofsborg,fur
tlazcozauhtitlan,stone
staryya_darohi,lumber
bamberg,stone
yingshan_luan,stone
iveagh,tin
khyunglung,livestock
dianjiang,livestock
aguacay,fruit
parnanguara,fish
ruguda,fish
ingnyeong,legumes
sakambunje,wild_game
guidimouni,livestock
mistimakan,fish
arkhangelskoye,wheat
teshevka,wool
beledweyne,millet
gucheng_jingzhou,legumes
mueng_bang_yom,millet
kasba,lumber
nazhi,sand
kuji_kanto,goods_gold
maba_celebes,stone
tala_kyuyel,fur
canuba_wakpa,maize
guichita,lumber
chitanda,cotton
naoiri,rice
yaropolch,wild_game
dipayal,livestock
kiyikoy,medicaments
gaxun_gobi,livestock
ulziit,wild_game
tabory,fur
conecuh,legumes
beaujeu,wine
chunju,rice
zhenxi_lizhou,lumber
samorin,fiber_crops
vasilyeva_sloboda,lumber
mudgal,goods_gold
terek,horses
dukhovnitskoye,livestock
polotsk,iron
nilagiri,medicaments
ikaruga,rice
aberdeen,horses
seta,silk
lindi,millet
stepanenki,lumber
iagodnoie,fur
dongju,amber
tengrela,wild_game
sinjar,wine
kongsberg,silver
tussahaw,maize
izhevsk,lumber
isaccea,millet
eimastukwek,fish
piripucu,legumes
pecs,horses
lochaber,alum
south_dahalo,livestock
uil,livestock
watonwan,fiber_crops
zimnicea,wheat
ar_rabb,livestock
villalba,livestock
rozdory,fish
sawata,goods_gold
panar,sand
glaz,wheat
rantau_panjang,wild_game
manitowik,fur
peureulak,lumber
schinhandowi,wild_game
ashchyozek,fish
al_mithnab,livestock
beyza,fruit
ocuogun,fur
teozacualco,dyes
st_aignan,wheat
tukums,fur
esekatik,fish
reinosa,fur
talarn,fur
loufan,livestock
mortain,clay
hotoanaohe,wild_game
menen,livestock
kali,ivory
anunsu,goods_gold
chumuch,maize
leoben,iron
tanumah,horses
shorapani,legumes
sanchakou,millet
zheledian,lumber
yucundaa,stone
berbice,fish
alausi,maize
poyang,clay
tilcara,wild_game
ixtlan,maize
nyuya,wild_game
dorey,livestock
puri_simao,tea
kabunda,lumber
umbra,maize
thoothukudi,livestock
sholhapur,millet
kalianda,fish
araes,wild_game
