location_tag,river_level,x,y,distance_pixels,added_source
grudziadz,3,8546,1665,0.0,True
dubovskoye,3,9616,2066,0.0,True
longyan,1,13030,3428,1.4142135623730951,True
ukarangma,5,5224,4987,11.180339887498949,False
cochem,2,8018,1897,1.0,True
kortriik,1,7845,1850,0.0,True
valence,3,7916,2238,12.083045973594572,False
st_jean_dangely,1,7658,2180,0.0,True
inju,2,13463,2703,0.0,True
kulpi,3,11703,3602,1.0,True
mezhutka,3,9175,1196,17.69180601295413,False
kondurcha,4,9999,1687,32.57299494980466,False
vertyazin,2,9345,1448,3.605551275463989,False
bodrog,4,8545,2170,0.0,True
zainsk,4,10036,1529,0.0,True
ragnit,3,8709,1562,0.0,True
smederevo,5,8648,2261,1.0,False
qiaokou,5,12823,3253,3.605551275463989,False
batang_tabir,5,12366,4938,3.605551275463989,False
pozega,1,8504,2233,1.0,True
jipyeong,5,13488,2704,2.23606797749979,False
semikarakorsk,5,9552,2074,3.1622776601683795,False
agen,5,7722,2279,16.492422502470642,False
bocheikovo,2,9020,1551,1.4142135623730951,True
sol_velikaya,3,9521,1382,0.0,True
gaoming,5,12826,3563,0.0,True
kurba,3,9495,1370,1.0,True
zhongxiang,3,12816,3092,1.0,True
chalninsky_pochinok,1,10088,1502,0.0,True
ilambazar,5,11699,3527,3.605551275463989,False
dharmasraya,5,12303,4914,4.242640687119285,False
kowal,3,8568,1733,0.0,True
simbirsk,4,9895,1613,0.0,True
prato,1,8192,2317,1.0,True
feira,3,7301,2489,1.0,True
yuryev_povolzhsk,5,9638,1396,0.0,True
bonn,4,8009,1853,0.0,True
bree,2,7955,1835,0.0,True
mikhaylovka_pontic,1,9838,2082,1.0,True
rohrbach,3,8320,2011,0.0,True
amboise,2,7746,2078,0.0,True
kalyazin,2,9398,1425,1.0,True
havelberg,1,8230,1709,0.0,True
eskalapia,5,3930,2659,4.0,False
velyka_lepetykha,5,9253,2075,1.0,True
bzhedygu_kal,1,9489,2227,1.4142135623730951,True
calbe,5,8230,1780,2.23606797749979,False
mosbach,2,8102,1950,1.0,True
oryahovo,5,8800,2325,1.0,False
wanan,5,12910,3367,3.605551275463989,False
pandua_adina,3,11686,3423,6.324555320336759,False
cremona,3,8150,2225,5.0,False
menouf,3,9103,3125,10.44030650891055,False
ashmunayn,4,9094,3275,0.0,True
esna,4,9177,3435,0.0,True
el_buwit,4,9098,3309,0.0,True
al_tib,3,9832,3046,1.0,True
saint_etienne,3,7885,2211,21.0,False
yaguachi,5,4062,4963,6.4031242374328485,False
yolombo,5,4320,4446,5.0,False
bijni,5,11820,3376,2.8284271247461903,False
tomsk,4,11545,1445,18.601075237738275,False
shahjadpur,5,11766,3496,3.0,False
novaya_pokrovka,2,9505,1858,0.0,True
taungdwingyi,5,12020,3739,1.0,True
kedainiai,2,8771,1571,0.0,True
ulla,2,9012,1542,0.0,True
arkhangelskoye_vologda,2,9523,1244,20.0,False
phsar_dek,5,12516,4280,12.727922061357855,False
wittenberg,2,8273,1790,0.0,True
myede,5,12024,3754,1.0,True
qishui,5,12932,3137,1.4142135623730951,False
nemby,5,5088,6239,5.385164807134504,False
gryfow,3,8353,1681,0.0,True
yongxing_xingguo,5,12943,3168,4.123105625617661,False
saucunk,5,4032,2509,3.0,False
pina_de_ebro,3,7666,2457,1.4142135623730951,True
wolmirstedt,3,8233,1747,1.0,True
worms,3,8072,1924,0.0,True
jianli,5,12838,3149,23.259406699226016,False
sanga,5,7499,4042,0.0,True
korientze,2,7508,4003,0.0,True
danilov,5,9540,1361,2.0,False
tondibi,3,7695,3932,10.04987562112089,False
montmorency,5,7786,1978,2.0,True
houguan,3,13118,3395,5.385164807134504,False
rongcheng,4,12753,3538,0.0,True
ketagalan,1,13219,3447,1.4142135623730951,True
harburg,3,8143,1673,0.0,True
laribandar,4,10770,3496,0.0,True
sonepur_bihar,5,11568,3405,3.1622776601683795,False
chitrakuta,4,11385,3423,0.0,True
tamworth,1,7616,1719,1.4142135623730951,True
banda,5,11349,3407,6.708203932499369,False
gloucester,2,7571,1787,8.246211251235321,False
sonda,4,10788,3460,0.0,True
patna,5,11554,3412,6.4031242374328485,False
multan,3,10937,3154,1.0,True
onitsha,5,8006,4490,5.0,False
sioure,2,7042,3927,0.0,True
bakel,5,7136,4033,5.0990195135927845,False
zaostrovskoye,5,9652,1022,21.37755832643195,False
yangzi,5,13116,3025,1.0,True
wuhu,5,13085,3084,7.615773105863909,False
hangzhou,3,13169,3136,4.123105625617661,False
mitchigamea,5,3662,2727,3.605551275463989,False
chungju,2,13515,2737,1.0,False
icheon,2,13495,2715,1.0,True
pokrovsk,5,9807,1791,0.0,True
urucurituba,5,5073,5001,12.041594578792296,False
mikulino_tver,1,9355,1453,0.0,True
khvorostyanka,5,9891,1729,0.0,True
drohiczyn,1,8722,1747,1.0,True
mie,2,13912,2853,1.0,True
gniew,3,8548,1640,0.0,True
gyor,5,8497,2063,1.0,False
angkor_borei,1,12473,4238,0.0,True
polotsk,2,9011,1538,0.0,True
saraveka,1,4914,5723,1.4142135623730951,True
pinya,5,12061,3632,1.0,False
shunde,5,12838,3578,0.0,True
mihalt,4,8701,2268,1.0,True
ruse,4,8888,2302,0.0,True
beljamen,5,9737,1964,0.0,True
viziru,4,8960,2233,1.0,True
tharrawaddy,5,12044,3878,0.0,True
hajipur,5,11568,3402,9.848857801796104,False
tuma,3,9559,1579,0.0,True
goleniow,1,8354,1685,1.4142135623730951,True
passavant,5,7665,2082,0.0,True
a_taw_bun_kut_en,1,1978,1565,1.4142135623730951,True
teliagarhi,5,11664,3429,1.0,True
cuijk,2,7946,1787,1.0,True
muara_bahan,5,12915,4995,11.313708498984761,False
salin,5,12005,3711,3.605551275463989,False
edfu,4,9183,3441,0.0,True
kharibta,3,9091,3116,0.0,True
wasit,3,9793,3004,0.0,True
zuwayr,4,9870,3130,1.0,True
waqua,1,4135,2763,1.0,True
verdun_sur_garonne,2,7740,2304,5.385164807134504,False
pancevo,4,8617,2239,0.0,True
oheyandewa,5,3833,2602,6.708203932499369,False
norosi,5,4326,4373,5.0990195135927845,False
hochelaga,5,4346,2196,0.0,True
dordrecht,4,7911,1780,0.0,True
uatuma,5,5046,4998,4.47213595499958,False
pont_audemer,3,7714,1948,0.0,True
toniato,4,4245,2237,21.400934559032695,False
daugavpils,2,8890,1495,0.0,True
konski_vody,3,9291,2062,0.0,True
mykytyn_rih,5,9260,2069,1.0,True
kaniatarahontsi,5,4253,2265,4.123105625617661,False
manhattan,3,4330,2491,5.0,True
kamach,4,4300,4253,9.0,False
husaynabad,3,11733,3581,20.024984394500787,False
pologoye_zaymishche,1,9792,2025,1.0,True
obion,5,3618,2792,8.06225774829855,False
chandrakona,5,11687,3590,2.23606797749979,False
anacostia,1,4185,2620,1.0,True
fuzhou_sichuan,5,12579,3179,4.123105625617661,False
chandwar,3,11251,3322,26.40075756488817,False
nellore,1,11324,4046,1.4142135623730951,True
newark,1,7653,1692,1.0,True
sukkur,4,10802,3297,0.0,True
paat,4,10770,3352,8.246211251235321,False
angkor,5,12404,4108,2.0,False
susong,5,12990,3165,0.0,True
tonglu,5,13136,3167,2.23606797749979,False
ituzaingo,2,4989,6757,0.0,True
hajo,5,11852,3375,1.4142135623730951,False
vidin,4,8731,2306,0.0,True
goly_karamysh,5,9776,1824,0.0,True
nakhon_sawan,3,12246,3997,0.0,True
jinkou,5,12886,3137,0.0,True
kalocsa,4,8555,2133,1.0,True
malabang,1,13348,4404,1.4142135623730951,True
gutian,3,13094,3370,1.0,True
batang_tembesi,5,12383,4942,2.23606797749979,False
sogra,5,9690,1010,14.866068747318506,False
soltsy_kirishi,3,9145,1257,2.0,True
nadia,5,11720,3530,9.433981132056603,False
surubiu,5,5190,4949,15.811388300841896,False
luanda,3,8291,5355,1.0,True
magway,5,12017,3728,2.23606797749979,False
warsaw,3,8653,1764,0.0,True
mbegua,5,4973,6720,2.0,False
shipai,3,12813,3092,1.0,True
fengcheng_fengcheng,4,12968,3260,2.8284271247461903,False
parma,3,8165,2241,1.0,True
usivka,5,9232,1982,0.0,True
sulechow,2,8390,1770,2.0,True
zigui,5,12720,3096,0.0,True
muara_sabak,3,12427,4915,1.0,True
zerbst,5,8249,1789,4.0,False
holzminden,2,8143,1781,21.095023109728988,False
sevilla,1,7418,2722,1.4142135623730951,True
palma_del_rio,1,7457,2692,0.0,True
bruchsal,3,8079,1957,1.0,True
este,1,8231,2227,1.0,True
stade,3,8139,1669,0.0,True
shigony,4,9920,1652,0.0,True
romanov,3,9499,1364,0.0,True
quizquiz,5,3586,2876,9.433981132056603,False
stavropol_na_volge,4,9925,1672,1.0,True
chertkovo,2,9568,1937,0.0,True
tancarville,3,7719,1946,1.0,True
asyut,4,9115,3327,0.0,True
fuwa,3,9090,3094,1.0,True
tahna,4,9097,3286,1.0,True
bhadohi,4,11440,3434,0.0,True
nontron,1,7720,2190,2.0,True
gorodets,3,9677,1460,1.0,True
calumbo,3,8291,5359,0.0,True
muhammerah,5,9886,3131,2.23606797749979,False
kwidzyn,3,8550,1654,0.0,True
shackamaxon,5,4265,2559,3.1622776601683795,False
reni,4,8972,2199,35.805027579936315,False
huiqi,5,12835,3520,1.0,False
vologda,2,9520,1251,2.23606797749979,False
kahwenoke,5,4300,2232,1.0,True
molchanovo,5,11508,1366,2.23606797749979,False
ambaca,5,8338,5375,1.0,True
borgloon,2,7951,1847,0.0,True
kolpashevo,5,11457,1318,8.246211251235321,False
vezhakary,5,10667,976,1.0,True
stendal,3,8237,1722,0.0,True
rajmahal,5,11689,3446,1.0,True
mompoj,5,4286,4343,1.0,False
melnikovo,5,11534,1437,3.1622776601683795,False
kemoimenahan,5,4358,2189,5.0,False
xingan_linjiang,5,12943,3283,0.0,True
tereshka,5,9809,1787,3.1622776601683795,False
wihlink,3,4025,2516,0.0,True
ahkwesasne_ny,5,4297,2236,0.0,True
hoveyzeh,5,9860,3078,25.0,False
tobolsk,5,10746,1364,3.1622776601683795,False
constantina,1,7432,2699,3.0,True
kizel,3,10273,1251,5.656854249492381,False
chichawatni,2,11010,3114,0.0,True
harrow,1,7676,1812,0.0,True
dubbi,4,10828,3332,35.84689665786984,False
inverary,1,7459,1468,1.4142135623730951,True
koknese,5,8867,1449,4.123105625617661,False
wangjiang,5,13002,3152,2.23606797749979,False
semidesyatnoye,5,9467,1804,2.8284271247461903,True
lalek_cotaa,5,4927,6686,2.8284271247461903,False
cherven,5,8858,2323,1.0,True
kazari,3,9524,1605,1.0,True
markovo,3,9101,1223,1.0,True
zongyang,5,13024,3115,5.830951894845301,False
gradiski_brod,5,8484,2234,1.0,False
zimnyatsky,3,9656,1920,26.92582403567252,False
zwolen,3,8675,1802,0.0,True
yurginskoye,5,10738,1411,4.0,False
zarate,5,4319,4296,42.5205832509386,False
jerichow,3,8241,1722,1.0,True
kuchugur,5,9259,2076,3.605551275463989,False
chateaubriant,3,7647,2081,1.0,True
cherkasy,5,9161,1952,35.4682957019364,False
heidelberg,3,8084,1951,7.211102550927978,False
melk,3,8389,2028,0.0,True
gdansk,3,8547,1627,0.0,True
wuchang,5,12918,3137,4.0,False
bronnitsy,1,9447,1540,0.0,True
braslaw,1,8938,1513,1.4142135623730951,True
qingchi,1,13010,2660,0.0,True
wanzhou,5,12630,3103,1.0,True
adony,4,8549,2099,0.0,True
tours,2,7713,2087,0.0,True
alexandria,1,9053,3088,0.0,True
cairo,3,9114,3154,1.0,True
akhmim,4,9145,3371,0.0,True
joigny,1,7839,2043,1.0,True
la_rochelle,1,7645,2176,0.0,True
qollaxalec,5,4995,6318,73.49829930005184,False
saygatsky,5,10159,1479,1.0,False
kharom_vosh,5,10754,1069,2.0,False
louviers,5,7743,1963,4.0,False
tavan,3,9222,2110,1.0,True
kazan,4,9930,1543,0.0,True
kimra,2,9364,1438,0.0,True
benfeld,3,8042,2020,0.0,True
xinjian,5,12957,3251,5.0990195135927845,False
zenzevatka,5,9742,1945,1.0,True
ducheng,5,12779,3560,5.0,False
antwerp,2,7889,1830,0.0,True
pacaha,5,3569,2845,19.1049731745428,False
jiayu,5,12879,3146,0.0,True
takawng,4,12083,3520,12.083045973594572,False
vasilyeva_sloboda,3,9653,1423,1.0,True
ghent,5,7859,1840,1.0,True
thai_binh,4,12511,3702,7.280109889280518,False
kozuchow,2,8408,1787,0.0,True
bikrampur,5,11800,3524,9.219544457292887,False
boryeong,1,13472,2775,1.4142135623730951,True
geldern,1,7963,1795,0.0,True
timbu,5,4981,6745,8.06225774829855,False
kunow,2,8682,1839,0.0,True
itihumma,5,3547,3129,6.0,False
patawomeck,1,4175,2636,1.0,True
ypoa,1,3147,3513,1.4142135623730951,True
changsha,5,12836,3258,2.23606797749979,False
huangpi,5,12903,3117,1.0,True
minxian,5,13120,3389,2.8284271247461903,True
kikonteku,5,4444,2130,1.0,False
batang_tebo,5,12353,4928,2.23606797749979,False
plock,3,8593,1741,1.0,True
medininkai,1,8716,1517,1.4142135623730951,True
kafr_saqr,1,9116,3121,1.0,True
xucheng,3,12985,2805,12.041594578792296,False
yiling,5,12762,3124,0.0,True
katha,4,12063,3493,13.0,False
kamalia,2,10976,3123,0.0,True
rohri,4,10830,3291,0.0,True
zwolle,1,7973,1741,0.0,True
selby,2,7654,1657,1.0,True
brussels,5,7888,1838,2.23606797749979,False
